id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,assets_check,diffA,capital,surpro,profits,totdep,circulation,billsred,otherliabs,liabs_check,diffL
1002,1939,addison,first,Steuben,36101,430868,79145,164716,176466,24221,875416,875416,0,75000,24300,6522,769031,0,0,563,875416,0
1003,1939,afton,first,Chenango,36017,483922,79056,130794,103671,16745,814188,814188,0,84600,24000,33970,671618,0,0,0,814188,0
1004,1939,albany,national commercial bank and tc,Albany,36001,15822991,22388936,10762837,32420679,1352313,82747756,82747756,0,1500000,5000000,2126903,73911588,0,0,209265,82747756,0
1009,1939,altamont,first,Albany,36001,456165,46053,111910,109209,9593,732930,732930,0,50000,39500,17551,625869,0,0,10,732930,0
1010,1939,amenia,first,Dutchess,36027,317177,201735,174572,423235,16229,1132948,1132948,0,100000,82000,28721,922227,0,0,0,1132948,0
1011,1939,amityville,first nb and tc,Suffolk,36103,487389,714072,241993,446280,249519,2139253,2139253,0,192500,25000,27499,1891492,0,0,2762,2139253,0
1012,1939,amsterdam,first,Montgomery,36057,963646,2458745,1518498,801065,302987,6044941,6044941,0,300000,300000,94220,5344709,0,0,6012,6044941,0
1013,1939,amsterdam,amsterdam city,Montgomery,36057,415564,431691,606692,565299,13360,2032606,2032606,0,200000,350000,166927,1314613,0,0,1066,2032606,0
1014,1939,amsterdam,farmers,Montgomery,36057,1251584,1497916,702076,524567,163068,4139211,4139211,0,300000,210000,50030,3560718,0,0,18463,4139211,0
1015,1939,andes,nb,Delaware,36025,202953,31350,66664,40906,6873,348746,348746,0,40000,2000,3697,295049,0,8000,0,348746,0
1016,1939,andover,burrows,Allegany,36003,407800,84903,136993,119249,11167,760112,760112,0,100000,30000,18661,609088,0,0,2363,760112,0
1017,1939,angola,evans,Erie,36029,349796,55591,60679,228944,31444,726454,726454,0,90000,0,8998,627067,0,0,389,726454,0
1019,1939,ardsley,first,Westchester,36119,250559,66113,85969,242773,21165,666579,666579,0,55200,15000,10077,580497,0,5325,4801,670900,4321
1608,1939,argyle,nb,Washington,36115,235874,83736,60037,36865,9521,426033,426033,0,40000,10000,15193,360840,0,0,0,426033,0
1021,1939,athens,athens,Greene,36039,337688,131444,133230,119762,17158,739282,739282,0,100000,11350,37036,588571,0,0,2325,739282,0
1022,1939,atlanta,atlanta,Steuben,36101,70069,39700,36315,51347,13703,211134,211134,0,25000,5000,8033,173101,0,0,0,211134,0
1025,1939,aurora,first,Cayuga,36011,39285,24929,188781,99422,1566,353983,353983,0,50000,50000,38963,215020,0,0,0,353983,0
1026,1939,babylon,babylon nb and tc,Suffolk,36103,686636,144421,571853,666590,74044,2143544,2143544,0,100000,100000,80621,1840023,0,0,22900,2143544,0
1028,1939,baldwin,baldwin nb and tc,Nassau,36059,1156693,531250,234999,467339,109178,2499459,2499459,0,600000,0,-359519,2238204,0,0,20774,2499459,0
1030,1939,baldwinsville,first nb and tc,Onondaga,36067,159553,158801,296242,296835,8761,920192,920192,0,99575,4000,12124,804492,0,0,1,920192,0
1032,1939,ballston spa,ballston spa,Saratoga,36091,684947,1374000,987985,719387,65185,3831504,3831504,0,200000,200000,210824,3180240,0,0,40440,3831504,0
1033,1939,barker,somerset,Niagara,36063,322315,65283,54623,86122,10224,538567,538567,0,25000,40000,3620,459947,0,10000,0,538567,0
1034,1939,batavia,first,Genesee,36037,772171,660483,1563617,491847,114876,3602994,3602994,0,100000,200000,120050,3177944,0,0,5000,3602994,0
1035,1939,bath,bath,Steuben,36101,1014036,135330,457745,283089,21535,1911735,1911735,0,100000,100000,36515,1672620,0,0,2600,1911735,0
1036,1939,bay shore,first nb and tc,Suffolk,36103,480369,401030,287685,664164,150826,1984074,1984074,0,161160,50000,20980,1751934,0,0,0,1984074,0
