id_old,id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,capital,surpro,profits,totdep,circulation,billsred,otherliabs,assets_check,diff,liabs_check,diff1
1001,1001,1933,Ada,first,Hardin,39065,220006,76304,119679,62073,38490,516552,50000,50000,8556,336913,50000,10989,10094,516552,0,516552,0
1002,1002,1933,Alliance,alliance first,Stark,39151,2715962,671404,306515,381091,390552,4465524,300000,150000,31386,3563132,300000,105290,15716,4465524,0,4465524,0
1003,1003,1933,Amesville,first,Athens,39009,53633,26025,64527,26635,9859,180679,25000,5000,2184,123495,25000,0,0,180679,0,180679,0
1006,1006,1933,Ashland,first,Ashland,39005,422659,498483,290544,789326,80501,2081513,150000,50000,35304,1688024,150000,0,8185,2081513,0,2081513,0
1007,1007,1933,Ashtabula,farmers nb and tc,Ashtabula,39007,789565,147095,570314,335907,31450,1874331,150000,150000,56701,1467630,50000,0,0,1874331,0,1874331,0
1009,1009,1933,Ashtabula,nb,Ashtabula,39007,1030446,201500,258577,177932,116073,1784528,200000,50000,47026,1286942,145000,55560,0,1784528,0,1784528,0
1010,1010,1933,Athens,athens,Athens,39009,432616,193925,281454,170583,91485,1170063,125000,65000,10967,773302,125000,63024,7770,1170063,0,1170063,0
1011,1011,1933,Athens,bank of athens nb assoc,Athens,39009,501040,546565,72252,243499,122866,1486222,250000,50000,141988,841627,97300,0,105307,1486222,0,1486222,0
1012,1012,1933,Baltimore,first,Fairfield,39045,219608,6300,69426,72222,58816,426372,25000,27000,3092,364980,6300,0,0,426372,0,426372,0
1013,1013,1933,Barnesville,first,Belmont,39013,898842,107500,422987,407991,63581,1900901,100000,100000,20727,1564908,100000,0,15266,1900901,0,1900901,0
1014,1014,1933,Batavia,first,Clermont,39025,173605,80100,102891,44423,59996,461015,110000,0,6028,245227,79760,20000,0,461015,0,461015,0
1500,1401,1933,Bellefontaine,bellefontaine,Logan,39091,275154,241014,73984,88258,44059,722469,100000,20000,639,601830,0,0,0,722469,0,722469,0
1019,1019,1933,Bellevue,first,Huron,39077,648376,155153,353445,89100,22616,1268690,100000,75000,38566,1027266,27500,0,358,1268690,0,1268690,0
1021,1021,1933,Bethel,first,Clermont,39025,154595,118442,60867,46231,22416,402551,50000,25000,30430,248021,49100,0,0,402551,0,402551,0
1023,1023,1933,Blanchester,first,Clinton,39027,235867,65054,31279,84118,63340,479658,50000,40000,4027,350631,35000,0,0,479658,0,479658,0
1024,1024,1933,Bluffton,citizens,Allen,39003,446449,27150,158720,133923,53168,819410,80000,30000,10059,674351,25000,0,0,819410,0,819410,0
1401,1402,1933,Bryan,citizens,Williams,39091,214273,164509,51271,236348,30456,696857,75000,15000,267,546375,60000,0,215,696857,0,696857,0
1030,1030,1933,Bucyrus,first,Crawford,39033,131065,260444,38727,54026,53359,537621,100000,15000,5027,317591,100000,0,3,537621,0,537621,0
1031,1031,1933,Bucyrus,second,Crawford,39033,526151,169340,185420,229657,38332,1148900,100000,100000,17981,830919,100000,0,0,1148900,0,1148900,0
1032,1032,1933,Burton,first,Geauga,39055,321468,92166,87795,78118,54419,633966,50000,30000,6104,512862,35000,0,0,633966,0,633966,0
1034,1034,1933,Cadiz,union,Harrison,39067,463184,478965,452522,299125,65162,1758958,200000,40000,2844,1313634,200000,0,2480,1758958,0,1758958,0
1402,1418,1933,Caldwell,first,Noble,39171,244086,33960,180527,204555,30101,693229,75000,12000,2961,464506,0,0,138762,693229,0,693229,0
1039,1422,1933,Cambridge,central,Guernsey,39059,146743,167740,87766,216630,93074,711953,125000,25000,187,511766,50000,0,0,711953,0,711953,0
1041,1041,1933,Cambridge,nb,Guernsey,39059,581658,236603,124425,434451,87042,1464179,100000,100000,4040,1201659,58480,0,0,1464179,0,1464179,0
1042,1042,1933,Camden,first,Preble,39135,207050,50000,31234,31962,23898,344144,50000,1000,746,228683,50000,13715,0,344144,0,344144,0
1043,1043,1933,Canfield,farmers,Mahoning,39099,294749,96475,107479,44373,60565,603641,75000,15000,47448,322604,74340,69249,0,603641,0,603641,0
1044,1044,1933,Canton,first,Stark,39151,5687821,1253705,935733,2487562,1702428,12067249,500000,1000000,379332,9690067,497850,0,0,12067249,0,12067249,0
1504,1421,1933,Carrollton,first,Carroll,39013,40799,19608,91780,127455,12944,292586,50000,10000,26,232348,0,0,212,292586,0,292586,0
1048,1048,1933,Celina,first,Mercer,39107,1768960,303650,40391,357361,30698,2501060,100000,175000,10540,2115520,100000,0,0,2501060,0,2501060,0
1403,1403,1933,Chardon,central,Geauga,39055,312021,208957,202780,134011,35645,893414,50000,25000,4361,759592,50000,0,4461,893414,0,893414,0
1051,1051,1933,Chesterhill,first,Morgan,39115,101089,43350,54115,23809,5521,227884,25000,25000,16472,135311,25000,0,1101,227884,0,227884,0
1052,1052,1933,Chillicothe,first,Ross,39141,1741745,605445,592066,408438,203665,3551359,300000,250000,39278,2662081,300000,0,0,3551359,0,3551359,0
1053,1053,1933,Chillicothe,central,Ross,39141,162324,304901,345126,337936,41210,1191497,100000,160000,40212,791285,100000,0,0,1191497,0,1191497,0
1054,1054,1933,Chillicothe,citizens,Ross,39141,1042810,100000,173666,274386,171445,1762307,100000,100000,60990,1401138,100000,0,179,1762307,0,1762307,0
1056,1056,1933,Cincinnati,first,Hamilton,39061,25245576,12736630,8783952,21151411,2375073,70292642,6000000,3000000,1958206,58098230,699200,0,537006,70292642,0,70292642,0
1057,1057,1933,Cincinnati,second,Hamilton,39061,5608912,3053642,1060222,1573044,729740,12025560,1000000,750000,76632,9222928,823000,0,153000,12025560,0,12025560,0
1058,1058,1933,Cincinnati,atlas,Hamilton,39061,1121903,2685124,3271464,1726937,856242,9661670,400000,1000000,231257,7865970,160000,0,4443,9661670,0,9661670,0
1060,1060,1933,Cincinnati,lincoln,Hamilton,39061,3218175,1640899,2224355,1359347,557600,9000376,500000,1000000,210875,6257924,485000,539000,7577,9000376,0,9000376,0
1061,1061,1933,Circleville,first,Pickaway,39129,347010,177400,157763,216094,57966,956233,130000,75000,48154,572935,130000,0,144,956233,0,956233,0
1062,1062,1933,Circleville,second,Pickaway,39129,453975,69200,78416,101359,44586,747536,125000,50000,72987,443249,56200,0,100,747536,0,747536,0
1063,1063,1933,Circleville,third,Pickaway,39129,382973,46954,62206,128741,44104,664978,100000,40000,20080,474725,30000,0,173,664978,0,664978,0
1064,1064,1933,Clarington,first,Monroe,39111,229495,81423,61843,56758,7565,437084,40000,40000,2950,319101,35000,0,33,437084,0,437084,0
1066,1066,1933,Cleveland,central united,Cuyahoga,39035,46100417,23472298,7091072,15420057,7200383,99284227,5000000,2000000,1094640,85387810,5000000,0,801777,99284227,0,99284227,0
1068,1068,1933,Cleveland,national city,Cuyahoga,39035,25031422,39121355,6101106,17022248,790093,88066224,8700000,1000000,1423532,74811720,1985400,0,145572,88066224,0,88066224,0
1404,1404,1933,Cleves,cleves,Hamilton,39061,127056,65577,1800,93159,31148,318740,50000,10000,120,258079,0,0,541,318740,0,318740,0
1070,1070,1933,Columbus,city nb and tc,Franklin,39049,8076880,2784375,3873708,3134757,1261338,19131058,1200000,1300000,264370,15150257,1200000,0,16431,19131058,0,19131058,0
1072,1072,1933,Columbus,huntington,Franklin,39049,9796025,7454587,5802121,7948278,2317274,33318285,2000000,1000000,229134,27962472,1999980,0,126699,33318285,0,33318285,0
1073,1073,1933,Columbus,ohio,Franklin,39049,16938177,11340815,7942160,6942229,2581832,45745213,4000000,2000000,785186,37141288,1700000,0,118739,45745213,0,45745213,0
1074,1074,1933,Convoy,first,Van Wert,39161,174424,34991,129364,60341,21845,420965,50000,5000,3129,337836,25000,0,0,420965,0,420965,0
1076,1076,1933,Coshocton,commercial,Coshocton,39031,898807,528363,347903,375949,227967,2378989,150000,200000,28410,1900579,100000,0,0,2378989,0,2378989,0
1077,1077,1933,Coshocton,Coshocton,Coshocton,39031,342955,244653,956815,311143,116272,1971838,200000,100000,32185,1439653,200000,0,0,1971838,0,1971838,0
1078,1078,1933,Covington,citizens,Miami,39109,143157,125000,60790,62107,32542,423596,25000,55000,6533,277063,25000,0,35000,423596,0,423596,0
1079,1079,1933,Crestline,first,Crawford,39033,213416,75837,43534,80603,46137,459527,70000,3500,4452,331392,50000,0,183,459527,0,459527,0
1406,1399,1933,Dalton,first,Wayne,39041,132474,90709,1800,31491,7050,263524,25000,6250,293,206981,25000,0,0,263524,0,263524,0
1081,1081,1933,Dayton,third nb and tc,Montgomery,39113,3587381,1478550,1289669,1061742,634471,8051813,500000,250000,30120,6758226,500000,0,13467,8051813,0,8051813,0
1083,1083,1933,Dayton,merchants nb and tc,Montgomery,39113,1583428,562578,496032,601517,73621,3317176,200000,100000,46748,2770428,200000,0,0,3317176,0,3317176,0
1084,1084,1933,Dayton,winters nb and tc,Montgomery,39113,9128704,2742099,3001928,3917025,686428,19476184,1000000,500000,78866,16799930,1000000,0,97388,19476184,0,19476184,0
1087,1087,1933,Delaware,first,Delaware,39041,432939,339468,558421,216191,42174,1589193,100000,20000,102050,1267610,99500,0,33,1589193,0,1589193,0
1421,1406,1933,Delaware,Delaware county,Delaware,39019,180468,366167,162121,216459,29196,954411,100000,50000,9112,695220,100000,0,79,954411,0,954411,0
1089,1089,1933,Delphos,old,Allen,39003,253104,88380,15200,180047,47309,584040,75000,15000,2764,441276,50000,0,0,584040,0,584040,0
1407,1407,1933,Dennison,first,Tuscarawas,39157,86743,189638,172890,149965,19848,619084,60000,9500,422,499162,50000,0,0,619084,0,619084,0
1092,1092,1933,Dover,first,Tuscarawas,39157,292003,100844,252872,64077,68847,778643,50000,35000,10941,632702,50000,0,0,778643,0,778643,0
1093,1093,1933,Dover,exchange,Tuscarawas,39157,412321,137936,558919,156919,34542,1300637,100000,75000,7573,1018064,100000,0,0,1300637,0,1300637,0
1095,1095,1933,East Liverpool,first,Columbiana,39029,1606913,551199,556899,713536,295476,3724023,300000,300000,35374,2788636,300000,0,13,3724023,0,3724023,0
1097,1420,1933,East Palestine,first,Columbiana,39029,230796,,12980,304371,26730,574877,62000,10000,2057,500817,0,0,3,574877,0,574877,0
1098,1098,1933,Eaton,eaton,Preble,39135,508392,127979,236065,270294,48165,1190895,60000,80000,32916,956179,60000,0,1800,1190895,0,1190895,0
1099,1099,1933,Eaton,Preble county,Preble,39135,860819,269994,235627,155142,60051,1581633,60000,100000,76469,1285164,60000,0,0,1581633,0,1581633,0
1101,1101,1933,Elmwood Place,first,Hamilton,39061,287043,71009,149416,171584,74846,753898,50000,50000,17342,583056,50000,0,3500,753898,0,753898,0
