id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,capital,surpro,profits,totdep,circulation,billsred,otherliabs,assets_check,diff,liabs_check,diff1
1001,1939,Ada,first,Hardin,39065,283619,138037,220515,173055,18550,833776,50000,35000,12011,735265,0,0,1500,833776,0,833776,0
1002,1939,Alliance,alliance first,Stark,39151,1458033,2278134,795654,1633499,281476,6446796,344000,125000,178726,5779975,0,0,19095,6446796,0,6446796,0
1003,1939,Amesville,first,Athens,39009,146810,17024,75011,54644,5300,298789,45000,4000,5286,244256,0,0,247,298789,0,298789,0
1006,1939,Ashland,first,Ashland,39005,389689,510239,782672,1459501,33909,3176010,150000,150000,63904,2801080,0,0,11026,3176010,0,3176010,0
1007,1939,Ashtabula,farmers nb and tc,Ashtabula,39007,1114370,590228,1079147,1128864,71482,3984091,150000,150000,85443,3598648,0,0,0,3984091,0,3984091,0
1009,1939,Ashtabula,nb,Ashtabula,39007,1131272,64600,439187,769042,104962,2509063,272000,25000,34313,2177750,0,0,0,2509063,0,2509063,0
1010,1939,Athens,athens,Athens,39009,314637,403427,462830,396268,77338,1654500,125000,50000,46249,1433251,0,0,0,1654500,0,1654500,0
1011,1939,Athens,bank of athens nb assoc,Athens,39009,522538,588889,374829,380292,9500,1876048,250000,54500,139553,1431994,0,0,1,1876048,0,1876048,0
1012,1939,Baltimore,first,Fairfield,39045,403563,45400,147357,192178,26915,815413,50000,15000,12804,737212,0,0,397,815413,0,815413,0
1013,1939,Barnesville,first,Belmont,39013,702873,479387,689181,463081,63256,2397778,145000,100000,86488,2064773,0,0,1517,2397778,0,2397778,0
1014,1939,Batavia,first,Clermont,39025,155812,51419,148902,192621,52282,601036,70000,0,12000,16228,0,0,502808,601036,0,601036,0
1401,1939,Bellefontaine,bellefontaine,Logan,39091,494631,520806,56204,506396,27500,1605537,100000,68000,13787,1422250,0,0,1500,1605537,0,1605537,0
1019,1939,Bellevue,first,Huron,39077,735265,166090,449215,234145,7137,1591852,100000,100000,30585,1361267,0,0,0,1591852,0,1591852,0
1021,1939,Bethel,first,Clermont,39025,269395,141825,119406,130228,14106,674960,50000,50000,38512,536266,0,0,182,674960,0,674960,0
1023,1939,Blanchester,first,Clinton,39027,358197,59600,185759,203564,43512,850632,50000,44000,15386,739746,0,0,1500,850632,0,850632,0
1024,1939,Bluffton,citizens,Allen,39003,535402,81840,154260,316420,23585,1111507,61000,50000,43820,956672,0,0,15,1111507,0,1111507,0
1402,1939,Bryan,citizens,Williams,39171,691925,250043,233282,744086,18034,1937370,86000,64000,11568,1765716,0,0,10086,1937370,0,1937370,0
1030,1939,Bucyrus,first,Crawford,39033,99702,675449,4575,124718,49491,953935,100000,28000,26052,799883,0,0,0,953935,0,953935,0
1031,1939,Bucyrus,second,Crawford,39033,816517,132847,374032,419087,37328,1779811,100000,100000,50307,1529504,0,0,0,1779811,0,1779811,0
1032,1939,Burton,first,Geauga,39055,485857,213540,167382,176513,28014,1071306,60000,43000,22575,944531,0,0,1200,1071306,0,1071306,0
1034,1939,Cadiz,union,Harrison,39067,368837,523737,771343,323793,39527,2027237,200000,48000,12045,1760317,0,0,6875,2027237,0,2027237,0
1418,1939,Caldwell,first,Noble,39121,439518,146900,390697,191651,17850,1186616,75000,38000,36881,1034480,0,0,2255,1186616,0,1186616,0
1422,1939,Cambridge,central,Guernsey,39059,362855,92167,349662,482724,92477,1379885,150000,35500,27549,1164921,0,0,1915,1379885,0,1379885,0
1041,1939,Cambridge,nb,Guernsey,39059,1161213,822818,368022,911380,91380,3354813,175000,63555,95393,3015365,0,0,5500,3354813,0,3354813,0
1042,1939,Camden,first,Preble,39135,166991,37622,43175,155524,4900,408212,50000,11000,6280,340677,0,0,255,408212,0,408212,0
1043,1939,Canfield,farmers,Mahoning,39099,534901,162960,110315,235591,31550,1075317,75000,15000,66685,911061,0,0,7571,1075317,0,1075317,0
1044,1939,Canton,first,Stark,39151,4444522,2255186,6920697,6648345,1535670,21804420,985000,750000,483604,19585816,0,0,0,21804420,0,21804420,0
1421,1939,Carrollton,first,Carroll,39019,312580,121268,494998,282332,11202,1222380,50000,27000,30531,1114849,0,0,0,1222380,0,1222380,0
1048,1939,Celina,first,Mercer,39107,1343347,921650,26500,1223152,12012,3526661,150000,150000,21043,3205618,0,0,0,3526661,0,3526661,0
1051,1939,Chesterhill,first,Morgan,39115,97274,35402,78963,32354,3125,247118,25000,25000,21251,175867,0,0,0,247118,0,247118,0
1052,1939,Chillicothe,first,Ross,39141,1317801,1457614,1253539,1160474,126627,5316055,300000,218000,31100,4760210,0,0,6745,5316055,0,5316055,0
1054,1939,Chillicothe,citizens,Ross,39141,904916,94659,506621,863379,98678,2468253,150000,100000,92630,2125621,0,0,2,2468253,0,2468253,0
1056,1939,Cincinnati,first,Hamilton,39061,30513903,19824543,3914554,48848441,2737280,105838721,6000000,4000000,3473126,91766700,0,0,598895,105838721,0,105838721,0
1057,1939,Cincinnati,second,Hamilton,39061,7017461,5444194,730509,6911315,527466,20630945,1000000,850000,230101,18535502,0,0,15342,20630945,0,20630945,0
1058,1939,Cincinnati,atlas,Hamilton,39061,1921989,1932968,3657273,3779172,719608,12011009,400000,1000000,422313,10184188,0,0,4508,12011010,-1,12011009,-1
1060,1939,Cincinnati,lincoln,Hamilton,39061,1840738,2307809,3252285,5220372,483376,13104581,500000,1000000,356731,11225782,0,0,22068,13104580,1,13104581,1
1061,1939,Circleville,first,Pickaway,39129,406007,406025,100645,355713,50000,1318390,130000,82000,32857,1073528,0,0,5,1318390,0,1318390,0
1062,1939,Circleville,second,Pickaway,39129,439430,110125,135108,333000,25209,1042872,125000,56000,46038,815032,0,0,802,1042872,0,1042872,0
1063,1939,Circleville,third,Pickaway,39129,536078,76625,108724,214176,32535,968138,100000,42500,19433,806178,0,0,27,968138,0,968138,0
1064,1939,Clarington,first,Monroe,39111,179194,110872,171774,123430,1853,587123,40000,40000,28023,477900,0,0,1200,587123,0,587123,0
1066,1939,Cleveland,central united,Cuyahoga,39035,47372822,36358338,12143828,60566463,4793005,161234456,12680000,1210000,498400,146178458,0,0,667598,161234456,0,161234456,0
1068,1939,Cleveland,national city,Cuyahoga,39035,44388262,51176883,18218018,84476050,2753188,201012401,9000000,4150000,3606945,184051579,0,0,203877,201012401,0,201012401,0
1404,1939,Cleves,cleves,Hamilton,39061,270238,279000,4700,148256,24472,726666,50000,45000,794,628446,0,0,2426,726666,0,726666,0
1070,1939,Columbus,city nb and tc,Franklin,39049,12001136,634985,4463830,18099957,1000713,36200621,1600000,1500000,455009,32563853,0,0,81759,36200621,0,36200621,0
1072,1939,Columbus,huntington,Franklin,39049,11026162,7288079,6784073,37735906,3286822,66121042,3000000,2050000,551723,60259179,0,0,260140,66121042,0,66121042,0
1073,1939,Columbus,ohio,Franklin,39049,13806025,23669961,17190944,23955809,3264702,81887441,4000000,2265000,1115068,74397607,0,0,109766,81887441,0,81887441,0
1074,1939,Convoy,first,Van Wert,39161,290261,42200,124626,203564,6465,667116,80000,10000,14652,561914,0,0,550,667116,0,667116,0
1076,1939,Coshocton,commercial,Coshocton,39031,523603,793149,719829,408925,129750,2575256,150000,150000,40937,2230600,0,0,3719,2575256,0,2575256,0
1077,1939,Coshocton,Coshocton,Coshocton,39031,530467,334438,277645,986880,75450,2204880,100000,61750,37059,2006071,0,0,0,2204880,0,2204880,0
1078,1939,Covington,citizens,Miami,39109,287026,70020,177150,226592,6000,766788,25000,75000,3334,663454,0,0,0,766788,0,766788,0
1079,1939,Crestline,first,Crawford,39033,456798,95200,49358,381964,38691,1022011,70000,20000,22401,909552,0,0,58,1022011,0,1022011,0
1399,1939,Dalton,first,Wayne,39169,435895,80733,1500,165098,3200,686426,25000,27000,2995,631431,0,0,0,686426,0,686426,0
1081,1939,Dayton,third nb and tc,Montgomery,39113,5018714,3133346,1777172,8209132,554319,18692683,750000,450000,318932,17120729,0,0,53022,18692683,0,18692683,0
1083,1939,Dayton,merchants nb and tc,Montgomery,39113,994667,3171775,1030333,3291687,45673,8534135,435000,200000,153903,7741134,0,0,4098,8534135,0,8534135,0
1084,1939,Dayton,winters nb and tc,Montgomery,39113,10429637,15681285,628632,13996191,468590,41204335,2250000,525000,298233,38012719,0,0,118383,41204335,0,41204335,0
1087,1939,Delaware,first,Delaware,39041,711693,621882,1691397,726005,44650,3795627,150000,150000,56676,3435175,0,0,3776,3795627,0,3795627,0
1407,1939,Dennison,first,Tuscarawas,39157,272551,277975,479889,646186,12123,1688724,60000,26000,36345,1562227,0,0,4152,1688724,0,1688724,0
1092,1939,Dover,first,Tuscarawas,39157,276423,157111,331195,265786,58502,1089017,88000,25000,26134,949883,0,0,0,1089017,0,1089017,0
1093,1939,Dover,exchange,Tuscarawas,39157,599170,318906,544538,512656,34087,2009357,100000,100000,33515,1772842,0,0,3000,2009357,0,2009357,0
1095,1939,East Liverpool,first,Columbiana,39029,2038074,689905,2695866,1762190,199952,7385987,300000,300000,380239,6380770,0,0,24978,7385987,0,7385987,0
1420,1939,East Palestine,first,Columbiana,39029,449601,152525,400818,267257,23895,1294096,62000,14575,44205,1173316,0,0,0,1294096,0,1294096,0
1098,1939,Eaton,eaton,Preble,39135,633679,118493,513482,603202,30670,1899526,60000,80000,54320,1701285,0,0,3921,1899526,0,1899526,0
1099,1939,Eaton,Preble county,Preble,39135,680609,913313,376925,497859,18501,2487207,80000,100000,116964,2187043,0,0,3200,2487207,0,2487207,0
1101,1939,Elmwood Place,first,Hamilton,39061,122732,260344,70556,263815,60053,777500,50000,50000,16451,658299,0,0,2750,777500,0,777500,0
1102,1939,Findlay,nb and tc,Hancock,39063,1840512,1093737,304375,3522048,212438,6973110,335000,161500,117985,6358625,0,0,0,6973110,0,6973110,0
1103,1939,Flushing,community,Belmont,39013,233967,253565,5912,269809,29153,792406,50000,10000,17629,714605,0,0,172,792406,0,792406,0
1104,1939,Forest,first,Hardin,39065,316071,5128,51208,110929,1501,484837,25000,17000,12649,428356,0,0,1832,484837,0,484837,0
1105,1939,Fostoria,first,Seneca,39147,460069,557911,394956,813435,13228,2239599,125000,31000,45879,2037720,0,0,0,2239599,0,2239599,0
1107,1939,Franklin,Frankling,Warren,39165,317494,430717,135301,495621,1849,1380982,100000,38000,51114,1188728,0,0,3140,1380982,0,1380982,0
1110,1939,Galion,first,Crawford,39033,957349,190005,487231,610350,65019,2309954,150000,65000,56239,2036215,0,0,2500,2309954,0,2309954,0
1112,1939,Gallipolis,first,Gallia,39053,421468,591425,277290,229533,20445,1540161,100000,100000,33398,1306762,0,0,1,1540161,0,1540161,0
1113,1939,Garrettsville,first,Portage,39133,554005,70825,402650,137314,28154,1192948,75000,50000,12363,1055585,0,0,0,1192948,0,1192948,0
1115,1939,Georgetown,first,Brown,39015,210955,67565,112738,189946,10877,592081,50000,50000,11300,475666,0,0,5115,592081,0,592081,0
1116,1939,Georgetown,peoples,Brown,39015,216210,30333,145851,121164,12500,526058,50000,42600,6402,427056,0,0,0,526058,0,526058,0
1117,1939,Germantown,first,Montgomery,39113,120299,77400,8750,215148,4100,425697,50000,75000,6937,293760,0,0,0,425697,0,425697,0
1118,1939,Gettysburg,citizens,Darke,39037,174463,55200,9818,62941,15325,317747,30000,5000,1584,281163,0,0,0,317747,0,317747,0
1119,1939,Girard,first,Trumbull,39155,272869,156484,1023240,455497,23740,1931830,75000,50000,68213,1733467,0,0,5150,1931830,0,1931830,0
1121,1939,Greenfield,peoples,Highland,39071,398049,613000,4200,441564,9500,1466313,60000,85000,1214,1318598,0,0,1501,1466313,0,1466313,0
1122,1939,Greenville,second,Darke,39037,648060,248075,720558,316586,91691,2024970,125000,150000,31665,1715180,0,0,3125,2024970,0,2024970,0
1123,1939,Greenville,farmers,Darke,39037,643451,84947,332883,238000,39187,1338467,100000,100000,9664,1128803,0,0,0,1338468,-1,1338467,-1
1125,1939,Greenwich,first,Huron,39077,153617,77096,14419,37547,29722,312401,35000,5000,6598,265803,0,0,0,312401,0,312401,0
1126,1939,Grove City,first,Franklin,39049,244822,47405,26599,72880,14861,406567,25000,20000,2637,358930,0,0,0,406567,0,406567,0
1127,1939,Hamilton,first nb and tc,Butler,39017,1909711,2096384,1908095,3400340,799525,10114055,825000,75000,407811,8806244,0,0,0,10114055,0,10114055,0
1128,1939,Hamilton,second,Butler,39017,996950,1054797,2441530,1603802,481599,6578678,420000,65000,232038,5844124,0,0,17516,6578678,0,6578678,0
1129,1939,Harrison,first,Hamilton,39061,69261,59616,184414,204063,20150,537504,50000,10000,9121,468127,0,0,256,537504,0,537504,0
1133,1939,Hicksville,hicksville,Defiance,39039,341547,100776,352861,219479,10558,1025221,59096,35300,23088,907692,0,0,45,1025221,0,1025221,0
1134,1939,Hillsboro,farmers and traders,Highland,39071,341852,321606,183960,281948,33400,1162766,50000,50000,52058,1010708,0,0,0,1162766,0,1162766,0
1135,1939,Hillsboro,merchants,Highland,39071,257156,739600,110480,305664,21020,1433920,150000,54000,106504,1123416,0,0,0,1433920,0,1433920,0
1136,1939,Hopedale,first,Harrison,39067,169373,55018,56588,124535,18319,423833,50000,14000,13632,345701,0,0,500,423833,0,423833,0
1137,1939,Hudson,nb,Summit,39153,386284,137115,137116,219696,20417,900628,63925,15000,10373,809946,0,0,1384,900628,0,900628,0
1138,1939,Ironton,first,Lawrence,39087,669933,565417,302476,552445,112037,2202308,200000,55000,57969,1887313,0,0,2026,2202308,0,2202308,0
1139,1939,Ironton,citizens,Lawrence,39087,412268,807691,56917,567089,51450,1895415,200000,47000,29738,1616670,0,0,2007,1895415,0,1895415,0
1140,1939,Jackson,first,Jackson,39079,332364,604178,402447,439953,18176,1797118,100000,100000,49504,1547614,0,0,0,1797118,0,1797118,0
1141,1939,Jackson Center,first,Shelby,39149,335377,67741,25681,215097,4634,648530,33000,33000,26734,555796,0,0,0,648530,0,648530,0
1142,1939,Jewett,first,Harrison,39067,180748,223018,45352,166597,12500,628215,35000,20000,5870,567345,0,0,0,628215,0,628215,0
1144,1939,Kent,kent,Portage,39133,928354,647604,662587,695798,46118,2980461,150000,125000,96809,2605507,0,0,3145,2980461,0,2980461,0
1145,1939,Kenton,first commercial,Hardin,39065,252783,200420,586030,389955,24700,1453888,100000,70000,20272,1260616,0,0,3000,1453888,0,1453888,0
1146,1939,Kenton,kenton,Hardin,39065,400996,114632,69058,208215,1400,794301,50000,30000,5657,707519,0,0,1125,794301,0,794301,0
1147,1939,Kingston,first,Ross,39141,186563,33896,31867,160043,3397,415766,50000,26000,10385,329381,0,0,0,415766,0,415766,0
1417,1939,Kinsman,first,Trumbull,39155,421650,38246,85997,97598,9316,652807,50000,14200,34314,554132,0,0,161,652807,0,652807,0
1149,1939,Lancaster,Fairfield,Fairfield,39045,673293,868988,414230,651126,50000,2657637,200000,200000,80025,2152259,0,0,25353,2657637,0,2657637,0
1150,1939,Lancaster,Hocking valley,Fairfield,39045,604102,349728,594983,1162981,71942,2783736,150000,150000,61550,2417786,0,0,4400,2783736,0,2783736,0
1151,1939,Lancaster,lancaster,Fairfield,39045,310683,267322,315465,288350,97920,1279740,100000,100000,56073,1023667,0,0,0,1279740,0,1279740,0
1152,1939,LaRue,campbell,Marion,39101,158721,14750,163586,83702,0,420759,30000,31000,10288,345451,0,0,4020,420759,0,420759,0
1153,1939,Lebanon,lebanon citizens nb and tc,Warren,39165,883531,521721,138365,603867,87316,2234800,165000,212500,138946,1718354,0,0,0,2234800,0,2234800,0
1409,1939,Lima,nb,Allen,39003,1354533,238481,436100,1742377,19050,3790541,200000,50000,104851,3413909,0,0,21781,3790541,0,3790541,0
1155,1939,Lockland,first,Hamilton,39061,816158,706652,1116299,1364129,52148,4055386,295000,68500,91739,3594359,0,0,5788,4055386,0,4055386,0
1158,1939,London,central,Madison,39097,645943,174478,94015,313448,8108,1235992,90000,30000,20895,1095097,0,0,0,1235992,0,1235992,0
1159,1939,London,Madison,Madison,39097,804981,340003,491394,268280,6667,1911325,90000,90000,37672,1691559,0,0,2094,1911325,0,1911325,0
1161,1939,Loveland,loveland,Clermont,39025,141763,121782,166247,130807,47733,608332,50000,50000,20649,487683,0,0,0,608332,0,608332,0
1164,1939,Malta,malta,Morgan,39115,154104,15800,262591,81376,4681,518552,50000,25000,6051,427501,0,10000,0,518552,0,518552,0
1165,1939,Manchester,farmers,Adams,39001,123154,66605,59845,203311,12522,465437,40000,40000,14562,370875,0,0,0,465437,0,465437,0
1166,1939,Mansfield,citizens nb and tc,Richland,39139,712122,1181537,2043618,1064628,321488,5323393,200000,200000,162312,4761081,0,0,0,5323393,0,5323393,0
1167,1939,Mantua,first,Portage,39133,385278,104250,142098,177244,24188,833058,50000,50000,26873,706185,0,0,0,833058,0,833058,0
1169,1939,Marietta,citizens,Washington,39167,699970,479539,1399296,604942,222118,3405865,200000,200000,15125,2990740,0,0,0,3405865,0,3405865,0
1170,1939,Marion,national city bank and tc,Marion,39101,1298421,218681,1183122,955836,54751,3710811,175000,140000,68109,3316360,0,0,11342,3710811,0,3710811,0
1410,1939,Massillon,first,Stark,39151,774638,506526,379088,753215,257625,2671092,200000,50000,42150,2378933,0,0,9,2671092,0,2671092,0
1174,1939,McArthur,Vinton county,Vinton,39163,356803,141231,299014,274081,23560,1094689,75000,50000,14586,951437,0,0,3666,1094689,0,1094689,0
1175,1939,McConnelsville,first,Morgan,39115,345960,45950,235053,111517,10399,748879,100000,26000,13711,609168,0,0,0,748879,0,748879,0
1176,1939,McConnelsville,citizens,Morgan,39115,412654,122942,254812,232003,34052,1056463,100000,63000,39003,854460,0,0,0,1056463,0,1056463,0
1177,1939,Medina,old phoenix,Medina,39103,2137116,1325001,383873,1184839,12745,5043574,225000,200000,115727,4500347,0,0,2500,5043574,0,5043574,0
1179,1939,Miamisburg,first,Montgomery,39113,531922,160206,282850,530557,19494,1525029,100000,100000,41043,1283986,0,0,0,1525029,0,1525029,0
1180,1939,Middleport,citizens,Meigs,39105,419385,160900,133031,182968,40745,937029,75000,27500,22845,811684,0,0,0,937029,0,937029,0
1182,1939,Milford,milford,Clermont,39025,282339,172480,174176,235858,38590,903443,100000,37500,15608,750335,0,0,0,903443,0,903443,0
1183,1939,Mineral City,first,Tuscarawas,39157,33342,16896,29669,21662,2,101571,25000,0,3162,73409,0,0,0,101571,0,101571,0
1185,1939,Monroe,Monroe,Butler,39017,222121,31487,141543,50107,12100,457358,50000,21000,13813,372545,0,0,0,457358,0,457358,0
1187,1939,Morrow,first,Warren,39165,136458,34409,80628,61844,7050,320389,25000,16000,1363,278026,0,0,0,320389,0,320389,0
1192,1939,Mount Orab,Brown county,Brown,39015,145728,68385,97748,55496,15997,383354,50000,4000,4864,324489,0,0,1,383354,0,383354,0
1193,1939,Mount Pleasant,peoples,Jefferson,39081,112650,544636,25369,176538,17640,876833,50000,35000,37602,754231,0,0,0,876833,0,876833,0
1194,1939,Mount Vernon,first,Knox,39083,703376,402722,809061,1909449,31489,3856097,150000,150000,32974,3523123,0,0,0,3856097,0,3856097,0
1198,1939,Newark,first,Licking,39089,1443129,391550,823969,1291566,109318,4059532,300000,88000,197235,3474297,0,0,0,4059532,0,4059532,0
1199,1939,Newark,park,Licking,39089,1688163,222344,468203,1601718,89726,4070154,200000,115000,86965,3668189,0,0,0,4070154,0,4070154,0
1200,1939,New Bremen,first,Auglaize,39011,401760,167586,76118,383940,4300,1033704,50000,20500,20591,941424,0,0,1189,1033704,0,1033704,0
1201,1939,New Carlisle,new carlisle,Clark,39023,470387,30500,72716,114514,3203,691320,25000,25000,22999,613945,0,0,4376,691320,0,691320,0
1202,1939,Newcomerstown,first,Tuscarawas,39157,200142,446666,302714,298328,21244,1269094,74500,25500,37918,1130816,0,0,360,1269094,0,1269094,0
1203,1939,New Concord,first,Muskingum,39119,179487,38380,91800,139217,30071,478955,50000,14000,7801,407150,0,0,4,478955,0,478955,0
1204,1939,New Holland,first,Pickaway,39129,192130,93100,3000,107945,4180,400355,50000,50000,9220,288616,0,0,2519,400355,0,400355,0
1411,1939,New Lexington,peoples,Perry,39013,389674,165000,210653,338743,39370,1143440,75000,39500,22605,1006335,0,0,0,1143440,0,1143440,0
1208,1939,New Paris,first,Preble,39135,110345,15000,73270,72512,5177,276304,35000,4750,7569,228985,0,0,0,276304,0,276304,0
1209,1939,New Philadelphia,citizens,Tuscarawas,39157,969713,1119398,636373,1135425,105296,3966205,150000,200000,156799,3425832,0,0,33574,3966205,0,3966205,0
1210,1939,New Richmond,new richmond,Clermont,39025,306300,330462,124971,307212,2001,1070946,50000,50000,65664,905282,0,0,0,1070946,0,1070946,0
1211,1939,North Baltimore,first,Wood,39173,463858,30000,211732,303740,1,1009331,60000,60000,29537,856794,0,0,3000,1009331,0,1009331,0
1212,1939,Norwalk,citizens,Huron,39077,548896,894302,354817,771851,174996,2744862,331900,50000,20796,2338649,0,0,3517,2744862,0,2744862,0
1213,1939,Norwood,first,Hamilton,39061,3000058,3858762,18450,1471332,96109,8444711,400000,215000,300401,7432635,0,0,96675,8444711,0,8444711,0
1215,1939,Okeana,first,Butler,39017,96724,10600,94517,45348,2800,249989,25000,25000,7281,192708,0,0,0,249989,0,249989,0
1412,1939,Orrville,orrville,Wayne,39169,523172,169994,279531,235212,22536,1230445,50000,51000,20333,1109112,0,0,0,1230445,0,1230445,0
1217,1939,Osborn,first,Greene,39057,268243,91500,199545,251612,16500,827400,50000,25000,4172,748228,0,0,0,827400,0,827400,0
1218,1939,Ottawa,first,Putnam,39137,186751,97300,118373,347470,2,749896,25000,50000,1430,673466,0,0,0,749896,0,749896,0
1219,1939,Oxford,oxford,Butler,39017,307887,197150,116253,378339,41637,1041266,50000,100000,9054,879462,0,0,2750,1041266,0,1041266,0
1221,1939,Pandora,first,Putnam,39137,379449,0,85106,109819,7809,582183,35000,35000,5697,506486,0,0,0,582183,0,582183,0
1224,1939,Piqua,citizens nb and tc,Miami,39109,1011735,680411,675183,1440373,232528,4040230,200000,200000,50833,3417109,0,0,172288,4040230,0,4040230,0
1225,1939,Piqua,piqua nb and tc,Miami,39109,1366331,1049328,409439,613677,290492,3729267,200000,200000,255478,3063789,0,0,10000,3729267,0,3729267,0
1227,1939,Plain City,farmers,Madison,39097,506625,916,168044,198463,21050,895098,50000,50000,34411,757687,0,0,3000,895098,0,895098,0
