id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,capital,surpro,profits,totdep,circulation,billsred,otherliabs,assets_check,diff,liabs_check,diff1
42043,1933,Abilene,Citizens,Taylor,48441,749090,188626,209203,617054,209363,1973336,200000,10000,7646,1655690,100000,0,0,1973336,0,1973336,0
41002,1933,Abilene,Farmers and Merchants,Taylor,48441,922020,807331,241100,2956178,118227,5044856,200000,65000,30641,4648344,100000,0,871,5044856,0,5044856,0
41004,1933,Albany,First,Shackelford,48417,388276,157422,48000,232486,58563,884747,100000,10000,20350,666893,87500,0,4,884747,0,884747,0
41006,1933,Allen,First,Collin,48085,28976,25000,1200,34662,3173,93011,25000,5000,250,62761,0,0,0,93011,0,93011,0
41008,1933,Alpine,State,Brewster,48043,121524,60385,7824,44018,7628,241379,50000,20000,6195,115124,50000,0,60,241379,0,241379,0
41007,1933,Alpine,First,Brewster,48043,202667,75000,8848,75854,17355,379724,75000,20000,6254,203470,75000,0,0,379724,0,379724,0
41011,1933,Alvord,Alvord,Wise,48497,69051,145000,9869,54240,362,278522,50000,50000,16,176530,0,0,1976,278522,0,278522,0
41012,1933,Amarillo,First,Potter,48375,1708984,585600,369150,1493442,109350,4266526,300000,100000,8757,3562459,295310,0,0,4266526,0,4266526,0
41013,1933,Amarillo,Amarillo,Potter,48375,2955971,219000,530333,1507989,259126,5472419,100000,200000,7094,5065918,98400,0,1007,5472419,0,5472419,0
41015,1933,Amherst,First,Lamb,48279,164407,6600,9251,368683,4262,553203,25000,6000,8092,514111,0,0,0,553203,0,553203,0
41016,1933,Anderson,First,Grimes,48185,75017,25000,37242,104699,6033,247991,25000,15000,7344,175459,25000,0,188,247991,0,247991,0
41017,1933,Anna,First,Collin,48085,43478,11300,4941,77820,11151,148690,35000,10000,1176,92514,10000,0,0,148690,0,148690,0
41018,1933,Annona,First,Red River,48387,39823,10000,6704,51111,11483,119121,30000,6000,2291,69777,10000,0,1053,119121,0,119121,0
41019,1933,Anson,First,Jones,48253,364272,25000,41935,477129,60129,968465,50000,50000,51683,796782,20000,0,0,968465,0,968465,0
41022,1933,Aspermont,First,Stonewall,48433,101136,17303,33013,182758,13597,347807,25000,25000,17779,272528,7500,0,0,347807,0,347807,0
41023,1933,Athens,First,Henderson,48213,370056,103102,86148,253113,40651,853070,100000,40000,2634,660436,50000,0,0,853070,0,853070,0
41025,1933,Atlanta,First,Cass,48067,110895,199015,9300,151492,11868,482570,50000,50000,6285,326753,49460,0,72,482570,0,482570,0
41026,1933,Atlanta,Atlanta,Cass,48067,215761,385150,62126,149067,19412,831516,50000,60000,5000,666516,50000,0,0,831516,0,831516,0
41027,1933,Austin,American,Travis,48453,2026468,1103044,394317,1977230,196132,5697191,300000,400000,8548,4688643,300000,0,0,5697191,0,5697191,0
41028,1933,Austin,Austin,Travis,48453,3804926,2310647,1311932,3705566,589196,11722267,300000,500000,110134,10510047,299995,0,2091,11722267,0,11722267,0
41031,1933,Bailey,First,Fannin,48147,45954,17500,11485,63986,6316,145241,25000,4400,2727,103414,9700,0,0,145241,0,145241,0
41032,1933,Baird,First,Callahan,48059,268943,159900,50927,264439,17967,762176,50000,25000,7912,654264,25000,0,0,762176,0,762176,0
41033,1933,Ballinger,First,Runnels,48399,359616,173750,37900,325660,52718,949644,100000,50000,6851,692793,100000,0,0,949644,0,949644,0
41034,1933,Bandera,First,Bandera,48019,75183,0,1070,33017,9060,118330,25000,0,286,77216,0,15806,22,118330,0,118330,0
41036,1933,Bartlett,First,Bell,48027,75704,160200,34529,147284,24756,442473,100000,30000,1346,236127,75000,0,0,442473,0,442473,0
41037,1933,Bartlett,Bartlett,Bell,48027,116424,70000,4874,113997,28253,333548,100000,20000,322,142684,70000,0,542,333548,0,333548,0
41038,1933,Bastrop,First,Bastrop,48021,92984,27650,34689,139782,10441,305546,50000,25000,4644,213402,12500,0,0,305546,0,305546,0
41039,1933,Bay City,First,Matagorda,48321,233154,195500,264545,568766,44090,1306055,100000,25000,72277,1000401,100000,0,8377,1306055,0,1306055,0
41041,1933,Beaumont,American,Jefferson,48245,2827179,839336,528232,2302300,737781,7234828,400000,200000,165142,6459251,0,0,10435,7234828,0,7234828,0
41040,1933,Beaumont,First?,Jefferson,48245,3394714,2464138,746382,2936455,319620,9861309,400000,400000,307997,8653312,100000,0,0,9861309,0,9861309,0
41044,1933,Beeville,First,Bee,48025,287853,85700,217370,269786,29278,889987,100000,50000,15655,674332,50000,0,0,889987,0,889987,0
41045,1933,Beeville,Commercial,Bee,48025,295506,50000,80317,133962,31671,591456,100000,50000,11596,379752,50000,0,108,591456,0,591456,0
41048,1933,Belleville,First,Austin,48015,201356,105851,129963,103088,14565,554823,50000,20000,9450,425373,50000,0,0,554823,0,554823,0
41046,1933,Bellevue,First,Clay,48077,72108,30000,1150,35047,5044,143349,30000,0,643,82706,30000,0,0,143349,0,143349,0
41047,1933,Bells,First,Grayson,48181,57411,23000,5633,32386,9978,128408,25000,3000,1379,79029,20000,0,0,128408,0,128408,0
41050,1933,Belton,Peoples,Bell,48027,36315,191400,69709,56215,18238,371877,50000,0,5494,266296,50000,0,87,371877,0,371877,0
41900,1933,Belton,Farmers,Bell,48027,85576,50000,2400,56419,14560,208955,50000,10000,124,148568,0,0,263,208955,0,208955,0
41051,1933,Big Spring,First,Howard,48227,239538,150000,94900,309021,45486,838945,50000,100000,9205,629740,50000,0,0,838945,0,838945,0
41053,1933,Big Spring,West Texas,Howard,48227,459519,50095,77033,144601,84606,815854,50000,50000,9097,656471,50000,0,286,815854,0,815854,0
41052,1933,Big Spring,State,Howard,48227,486216,75100,117676,337688,14751,1031431,50000,100000,13449,817982,50000,0,0,1031431,0,1031431,0
41056,1933,Blanco,Blanco,Blanco,48031,86233,26035,1150,28942,23336,165696,25000,0,2496,113205,24995,0,0,165696,0,165696,0
41059,1933,Bogata,First,Red River,48387,47729,25150,6184,74937,22290,176290,50000,0,555,100677,25000,0,58,176290,0,176290,0
41060,1933,Bonham,First,Fannin,48147,399212,47393,333863,227664,63484,1071616,200000,25000,2158,844458,0,0,0,1071616,0,1071616,0
41062,1933,Bowie,First,Montague,48337,219794,65617,3250,123896,48647,461204,50000,25000,24,338680,47500,0,0,461204,0,461204,0
41066,1933,Brady,Commercial,McCulloch,48307,183713,120300,12134,270359,89390,675896,130000,60000,3719,381992,100000,0,185,675896,0,675896,0
41065,1933,Brady,Brady,McCulloch,48307,212775,118256,12000,280838,56462,680331,100000,50000,14706,465428,50000,0,197,680331,0,680331,0
41067,1933,Breckenridge,First,Stephens,48429,630474,314600,68374,434457,285226,1733131,200000,50000,7150,1465981,10000,0,0,1733131,0,1733131,0
42039,1933,Brenham,Farmers,Washington,48477,199156,50200,14005,124585,11929,399875,50000,0,4810,294997,50000,0,68,399875,0,399875,0
41068,1933,Brenham,First,Washington,48477,560574,243650,212495,447218,176453,1640390,150000,25000,25828,1278338,150000,0,11224,1640390,0,1640390,0
41070,1933,Bridgeport,First,Wise,48497,121333,45000,62632,35750,30731,295446,35000,35000,0,190362,35000,0,84,295446,0,295446,0
41071,1933,Bronte,First,Coke,48081,81176,0,11197,150615,9896,252884,25000,12500,2000,213384,0,0,0,252884,0,252884,0
41072,1933,Brownfield,First,Terry,48445,165216,0,45239,72266,32689,315410,50000,6000,2264,257146,0,0,0,315410,0,315410,0
41075,1933,Brownsville,State,Cameron,48061,727041,517000,10050,958858,206939,2419888,250000,65000,162,1854726,250000,0,0,2419888,0,2419888,0
41076,1933,Brownwood,First,Brown,48049,519220,839000,26258,607116,122860,2114454,100000,100000,206425,1603298,100000,0,4731,2114454,0,2114454,0
41079,1933,Bryan,First,Brazos,48041,186041,285200,122177,144269,120615,858302,100000,50000,28175,580127,100000,0,0,858302,0,858302,0
41080,1933,Bryan,City,Brazos,48041,372556,257600,10804,216198,21016,878174,150000,30000,50585,533903,110000,0,3686,878174,0,878174,0
