id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,assets_check,diff,capital,surpro,profits,totdep,circulation,billsred,otherliabs,liabs_check,diff1
2003,1939,Appleton,First,Outagamie,55087,1825022,3274063,2218463,2859295,130471,10307314,10307314,0,500000,500000,238441,9058660,0,0,10213,10307314,0
2204,1939,Ashland,Union,Ashland,55003,463061,522757,392764,685339,30115,2094036,2094036,0,100000,60000,21681,1912355,0,0,0,2094036,0
2113,1939,Baldwin,First,St Croix,55109,423928,108850,116194,316789,16836,982597,982597,0,70000,15000,5939,888085,0,0,3573,982597,0
2114,1939,Bangor,First,La Crosse,55063,219041,110400,168540,223437,11400,732818,732818,0,50000,50000,36095,595723,0,0,1000,732818,0
2115,1939,Barron,First,Barron,55005,256525,53646,217763,204572,21860,754366,754366,0,50000,7500,12874,683992,0,0,0,754366,0
2116,1939,Bayfield,First,Bayfield,55007,93147,29150,21894,83990,13524,241705,241705,0,35000,0,873,205832,0,0,0,241705,0
2006,1939,Beaver Dam,American,Dodge,55027,216148,948066,623534,635033,27519,2450300,2450300,0,100000,100000,96015,2152287,0,0,1998,2450300,0
2007,1939,Beaver Dam,Old,Dodge,55027,424639,649654,728591,566246,31166,2400296,2400296,0,100000,100000,41124,2159172,0,0,0,2400296,0
2008,1939,Beloit,Second,Rock,55105,528914,142291,1951164,907674,99756,3629799,3629799,0,100000,25000,87140,3417659,0,0,0,3629799,0
2009,1939,Berlin,First,Green Lake,55047,286982,984409,541426,598093,82391,2493301,2493301,0,115000,55000,66287,2245708,0,0,11306,2493301,0
2011,1939,Blanchardville,First,Lafayette,55065,112404,105603,99473,180295,12582,510357,510357,0,25000,16000,8266,461091,0,0,0,510357,0
2013,1939,Burlington,Burlington,Racine,55101,184013,199751,410781,386535,13995,1195075,1195075,0,100000,22000,29089,1043986,0,0,0,1195075,0
2118,1939,Chippewa Falls,First,Chippewa,55017,519078,36600,193684,333150,66718,1149230,1149230,0,100000,12500,11815,1022564,0,0,2351,1149230,0
2119,1939,Chippewa Falls,Lumbermen's,Chippewa,55017,438554,428053,621418,421265,87979,1997269,1997269,0,150000,50000,5424,1790532,0,0,1313,1997269,0
2016,1939,Columbus,First,Columbia,55021,317365,721000,539222,466373,42435,2086395,2086395,0,90000,90000,50975,1855400,0,0,20,2086395,0
2120,1939,Crandon,Crandon,Forest,55041,220214,10500,128389,127280,12184,498567,498567,0,50000,9000,25407,414160,0,0,0,498567,0
2019,1939,Darlington,Citizens,Lafayette,55065,248716,593706,556735,516706,43398,1959261,1959261,0,90000,24000,91977,1753284,0,0,0,1959261,0
2022,1939,Dodgeville,First,Iowa,55049,321834,177120,127740,213148,146155,985997,985997,0,100000,0,285,885712,0,0,0,985997,0
2122,1939,Eagle River,First,Vilas,55125,153406,131000,109068,298077,16000,707551,707551,0,50000,15000,30361,609177,0,0,3013,707551,0
2124,1939,Eau Claire,Union,Eau Claire,55035,1820230,2132125,1163661,2106534,364490,7587040,7587040,0,370000,100000,265113,6837379,0,0,14548,7587040,0
2203,1939,Eau Claire,Americas N B & Tr Co,Eau Claire,55035,1411441,79400,247050,1067288,18379,2823558,2823558,0,125000,65000,51053,2557871,0,0,24634,2823558,0
2024,1939,Elkhorn,First,Walworth,55127,518824,353920,343108,600576,40287,1856715,1856715,0,73800,50000,84416,1646662,0,0,1837,1856715,0
2208,1939,Fennimore,First,Grant,55043,256107,98163,194860,263061,21349,833540,833540,0,50000,16000,14830,750901,0,0,1809,833540,0
2026,1939,Fond du Lac,First Fond du Lac,Fond Du Lac,55039,825454,3771766,2063342,1656552,194864,8511978,8511978,0,400000,350000,171537,7576044,0,0,14397,8511978,0
2205,1939,Fond du Lac,National Exchange,Fond Du Lac,55039,815739,671394,319197,977221,29191,2812742,2812742,0,200000,55000,17785,2532883,0,0,7074,2812742,0
2028,1939,Fort Atkinson,First,Jefferson,55055,727170,307051,279753,445875,48693,1808542,1808542,0,100000,100000,48076,1560461,0,0,5,1808542,0
2128,1939,Grantsburg,First,Burnett,55013,128501,212200,131788,68005,11089,551583,551583,0,45000,15000,5781,485208,0,0,594,551583,0
2029,1939,Green Bay,Kellogg Citizens,Brown,55009,2934973,1012595,1665257,6156610,165254,11934689,11934689,0,400000,100000,421307,11003169,0,0,10213,11934689,0
2031,1939,Hartford,First,Washington,55131,353026,181980,391049,196613,52000,1174668,1174668,0,50000,50000,40619,1034049,0,0,0,1174668,0
2129,1939,Hayward,Peoples,Sawyer,55113,295980,81093,74533,249652,14625,715883,715883,0,25000,37500,21389,631994,0,0,0,715883,0
2130,1939,Hudson,First,St Croix,55109,239050,219655,518167,384080,10000,1370952,1370952,0,50000,50000,26580,1244372,0,0,0,1370952,0
2033,1939,Janesville,First,Rock,55105,699990,694520,1216303,954894,65571,3631278,3631278,0,200000,110000,36098,3285180,0,0,0,3631278,0
2034,1939,Janesville,Rock Co,Rock,55105,296723,645008,131021,898495,12592,1983839,1983839,0,100000,100000,101871,1681968,0,0,0,1983839,0
2036,1939,Kenosha,First,Kenosha,55059,399757,633284,121762,444858,46357,1646018,1646018,0,150000,47000,45572,1401189,0,0,2257,1646018,0
2037,1939,Kenosha,Brown,Kenosha,55059,3058347,4727049,884672,4851816,376993,13898877,13898877,0,600000,450000,354148,12457412,0,0,37317,13898877,0
2134,1939,La Crosse,Batavian,La Crosse,55063,495107,0,915661,4083438,369677,5863883,5863883,0,500000,230000,57510,5061572,0,0,14801,5863883,0
2135,1939,La Crosse,NB of,La Crosse,55063,2255837,1982624,918380,1785986,125239,7068066,7068066,0,400000,235000,103329,6311344,0,0,18393,7068066,0
2136,1939,Ladysmith,Pioneer,Rusk,55107,256339,89700,59217,184926,28190,618372,618372,0,50000,4000,10050,551967,0,0,2355,618372,0
2039,1939,Lake Geneva,First,Walworth,55127,398646,318424,250199,543140,58294,1568703,1568703,0,75000,25000,50808,1417895,0,0,0,1568703,0
2041,1939,Madison,First,Dane,55025,5360985,6359374,2715148,12818496,1037750,28291753,28291753,0,1200000,650000,869526,25520995,0,0,51232,28291753,0
2137,1939,Maiden Rock,First,Pierce,55093,402454,833229,582321,441002,110254,2369260,2369260,0,150000,70000,36380,2103426,0,0,9454,2369260,0
